 State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name,Nitrogen,Phosphorus,Potassium,Boron,Iron,Zinc,Copper,Sulphur,Organic Carbon,Soil pH,Soil Salinity,Manganese,Temperature_°C,Updated_Nitrogen,Phosphorus,Updated_Potassium,Updated_Boron,Updated_Iron,Updated_Zinc,Updates_Copper,Updated_Sulphur,Updated_Organic Carbon,Updates_Soil pH,Updates_Soil Salinity,Updated_Manganese
Haryana,Faridabad,2/24/2025,2025,2,8.103882,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,120 to >280 kg/ha,<0.5 ppm,>4.5 ppm,>0.6 ppm,<0.2 ppm,>10.0 ppm,<0.50%,Mixed: 6.5-8.5,0-1.68 dS/m,>2.0 ppm,17,<375.2 kg/ha,9.25−23.12 kg/ha,102 to >238 kg/ha,<0.47 ppm,>3.82 ppm,>0.59 ppm,<0.2 ppm,>8.9 ppm,<0.42%,Mixed: 6.5−8.5,0−1.75 dS/m,>1.94 ppm
Haryana,Fatehabad,2/24/2025,2025,2,10.30324,NRSC VIC MODEL,<280 kg/ha,<10 to 25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.7,<369.6 kg/ha,<8.99 to 22.48 kg/ha,>234.64 kg/ha,>0.45 ppm,<3.6 ppm,>0.58 ppm,>0.19 ppm,>8.4 ppm,<0.41%,>7.5−8.5,0−1.78 dS/m,>1.88 ppm
Haryana,Fatehabad,2/25/2025,2025,2,10.16215,NRSC VIC MODEL,<280 kg/ha,<10 to 25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.7,<369.6 kg/ha,<8.99 to 22.48 kg/ha,>234.64 kg/ha,>0.45 ppm,<3.6 ppm,>0.58 ppm,>0.19 ppm,>8.4 ppm,<0.41%,>7.5−8.5,0−1.78 dS/m,>1.88 ppm
Haryana,Gurugram,2/3/2025,2025,2,11.78638,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Gurugram,2/7/2025,2025,2,10.95369,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Gurugram,2/8/2025,2025,2,10.72319,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Gurugram,2/24/2025,2025,2,9.336011,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Gurugram,2/26/2025,2025,2,8.955628,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Gurugram,2/28/2025,2025,2,9.080075,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,<120 to 280 kg/ha,<0.5 to >0.5 ppm,>4.5 ppm,<0.6 to >0.6 ppm,<0.2 to >0.2 ppm,>10.0 ppm,<0.50%,Mixed: <4.5-8.5,0-1.68 dS/m,>2.0 ppm,16.8,<378 kg/ha,9.22−23.05 kg/ha,<103.44 to 241.36 kg/ha,<0.47 to >0.47 ppm,>3.87 ppm,<0.58 to >0.58 ppm,<0.2 to >0.2 ppm,>9 ppm,<0.43%,Mixed: <4.5−8.5,0−1.76 dS/m,>1.94 ppm
Haryana,Hisar,2/7/2025,2025,2,11.82494,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
